Body And Soul,Bud Powell
But Not For Me,Bud Powell
Bye Bye Blackbird,Bud Powell
C Jam Blues,Bud Powell
Cantaloupe Island,Bud Powell
Caravan,Bud Powell
Cheek to cheek,Bud Powell
Cherokee,Bud Powell
Corner Pocket,Bud Powell
Dear Old Stockholm,Bud Powell
Desafinado,Bud Powell
Don't Get Around Much Anymore,Bud Powell
Easy To Love,Bud Powell
Everytime We Say Goodbye,Bud Powell
Fly Me To The Moon,Bud Powell
Garota de Ipanema,Bud Powell
Honeysuckle Rose,Bud Powell
How High The Moon,Bud Powell
I Got Rhythm,Bud Powell
I Remember Clifford,Bud Powell
I'm Gonna Sit Right Down and Write Myself a Letter,Bud Powell
I've Got You Under my Skin,Bud Powell
In A Mellow Tone,Bud Powell
In A Sentimental Mood,Bud Powell
Just You Just me,Bud Powell
Love for Sale,Bud Powell
Lullaby Of Birdland,Bud Powell
Misty,Bud Powell
Moanin',Bud Powell
Moonlight Serenade,Bud Powell
Night and Day,Bud Powell
On The Sunny Side Of The Street,Bud Powell
Penthouse Serenade,Bud Powell
Poinciana,Bud Powell
Round Midnight,Bud Powell
Ruby My Dear,Bud Powell
Samba De Orpheu,Bud Powell
Satin Doll,Bud Powell
Song For My Father,Bud Powell
Sophisticated Lady,Bud Powell
Stardust,Bud Powell
Stella By Starlight,Bud Powell
Sugar,Bud Powell
Summertime,Bud Powell
Take Five,Bud Powell
Take The A Train,Bud Powell
Tea For Two,Bud Powell
Tenderly,Bud Powell
The Girl From Ipanema,Bud Powell
There Will Never Be Another You,Bud Powell
These Foolish Things,Bud Powell
They Can't Take That Away from Me,Bud Powell
Three Little Words,Bud Powell
Watermelon Man,Bud Powell
Wave,Bud Powell
West Coast Blues,Bud Powell
What Is This Thing Called Love,Bud Powell
You’re Driving Me Crazy,Bud Powell
'Round Midnight,Cecil Taylor
A Child is Born,Cecil Taylor
A Foggy Day,Cecil Taylor
A Song For My Father,Cecil Taylor
All Blues,Cecil Taylor
All Of Me,Cecil Taylor
All The Things You Are,Cecil Taylor
Almost Like Being In Love,Cecil Taylor
Autumn Leaves,Cecil Taylor
Begin the Beguine,Cecil Taylor
Black Orpheus (Manhã de Carnaval),Cecil Taylor
Bluesette,Cecil Taylor
Body And Soul,Cecil Taylor
But Not For Me,Cecil Taylor
Bye Bye Blackbird,Cecil Taylor
C Jam Blues,Cecil Taylor
Cantaloupe Island,Cecil Taylor
Caravan,Cecil Taylor
Cheek to cheek,Cecil Taylor
Cherokee,Cecil Taylor
Corner Pocket,Cecil Taylor
Dear Old Stockholm,Cecil Taylor
Desafinado,Cecil Taylor
Don't Get Around Much Anymore,Cecil Taylor
Easy To Love,Cecil Taylor
Everytime We Say Goodbye,Cecil Taylor
Fly Me To The Moon,Cecil Taylor
Garota de Ipanema,Cecil Taylor
Honeysuckle Rose,Cecil Taylor
How High The Moon,Cecil Taylor
I Got Rhythm,Cecil Taylor
I Remember Clifford,Cecil Taylor
I'm Gonna Sit Right Down and Write Myself a Letter,Cecil Taylor
I've Got You Under my Skin,Cecil Taylor
In A Mellow Tone,Cecil Taylor
In A Sentimental Mood,Cecil Taylor
Just You Just me,Cecil Taylor
Love for Sale,Cecil Taylor
Lullaby Of Birdland,Cecil Taylor
Misty,Cecil Taylor
Moanin',Cecil Taylor
Moonlight Serenade,Cecil Taylor
Night and Day,Cecil Taylor
On The Sunny Side Of The Street,Cecil Taylor
Penthouse Serenade,Cecil Taylor
Poinciana,Cecil Taylor
Round Midnight,Cecil Taylor
Ruby My Dear,Cecil Taylor
Samba De Orpheu,Cecil Taylor
Satin Doll,Cecil Taylor
Song For My Father,Cecil Taylor
Sophisticated Lady,Cecil Taylor
Stardust,Cecil Taylor
Stella By Starlight,Cecil Taylor
Sugar,Cecil Taylor
Summertime,Cecil Taylor
Take Five,Cecil Taylor
Take The A Train,Cecil Taylor
Tea For Two,Cecil Taylor
Tenderly,Cecil Taylor
The Girl From Ipanema,Cecil Taylor
There Will Never Be Another You,Cecil Taylor
These Foolish Things,Cecil Taylor
They Can't Take That Away from Me,Cecil Taylor
Three Little Words,Cecil Taylor
Watermelon Man,Cecil Taylor
Wave,Cecil Taylor
West Coast Blues,Cecil Taylor
What Is This Thing Called Love,Cecil Taylor
You’re Driving Me Crazy,Cecil Taylor
